cntry_AN,state_of_health,religious_member,political_member,distrust_people,environment_vs_economy,neighbour_distrust,conf_press,conf_parliament,conf_civil_service,conf_govt,E069_12,E115,avoid_fare,cheat_taxes,govt_surveilence,H010,H011,sex,age,G027A,V002,V001,location,alpha.3,official_name,ghs,ethnic,linguistic,religious,area_km2,pop.km2,code,Wbcode,year.x,area_km,area_mi,pct_pop_inc,pct_popdens_inc,assassinations,strikes,guarilla,crises,purges,riots,revolutions,antgovt_dem,confict_index,legis01,legis02,legis05,legis06,legis07,polit02,polit03,polit04,polit05,polit06,polit07,polit08,polit09,polit10,polit11,polit12,polit13,polit14,polit15,pop1,pop2,sch_enrol_per_cap,country_code,health_spending_pct_gdp,year.y,life_exp.x,country,year,gdp_per_capita,gdp_growth,literacy_rate,secondary_school_enrl,geni_index,life_exp.y,poverty_headcount,pop_65,fdi_pct_gdp,aid_per_cap
DK,2.0215093471598866,0.5951026439296437,0.05011087651916226,0.2602787413731821,1.4435186399174487,1.6949578291488838,2.8579393585004307,2.5779387934820543,2.468939750975806,0.398341135356031,2.8404844788355277,2.7687034155047985,2.1284666126088068,1.5787202853852575,1.8480507846937684,3.144177805428438,3.108298119964862,1.500544435093688,42.79730097188435,1.0951657540239639,0.8905098950304348,0.8850751721716921,Denmark,DNK,Kingdom of Denmark,70.4,0.0819,0.1049,0.2333,43098,134.91,0320,DNK,2019,43094,16639,48,47,0,0,0,0,0,2,0,5,1250,48,179,3,3,373,1,0,0,1,1,3,2,3,20,1,1,3,2,1,5669,3407,2373,DNK,10.0707159,2018,80.95365854,Denmark,2019,60170.3426365069,2.8495144411967,NA,NA,NA,NA,NA,19.965259128921,-2.14200987846463,NA
EC,2.1392827356130106,0.5180824222035324,0.1165129924559933,0.9413763806287171,1.434108527131783,2.7545909849749584,2.8013468013468015,3.168067226890756,3.3435114503816794,0.3220910623946037,3.3089840470193117,2.03236797274276,3.9731993299832498,2.3352990732940184,2.291245791245791,3.004248088360238,2.9275979557069847,1.5225,39.48833333333334,1.01,0.989983305509182,0.9756915339480302,Ecuador,ECU,Republic of Ecuador,50.1,0.655,0.1308,0.1417,276841,64,0340,ECU,2019,283561,109483,120,121,0,5,0,0,0,2,0,5,2500,74,137,3,3,185,1,0,0,2,2,2,1,0,25,0,0,2,2,0,15608,1426,3090,ECU,8.13646507,2018,76.8,Ecuador,2019,6183.82382482173,0.0537188288209904,NA,NA,NA,NA,25,7.37219936706493,0.880765497670653,30.2210315702567
EE,2.461292780651521,0.05624321583554066,0.023755855891401265,0.6567007675083195,1.4436257930736405,2.0572997352592304,2.8537011782108332,2.8157389849166417,2.3130474872963847,0.4352588756280974,3.1559009125225512,2.247629302863481,2.645411581910818,2.1386244066320854,2.53313086867623,3.544432768287237,3.3904720633825285,1.5398151290316378,49.60910802885474,1.1128079070676857,0.7926817733842604,0.7689077257487696,Estonia,EST,Republic of Estonia,57,0.5062,0.4944,0.4985,45339,29.22,0360,EST,2019,45228,17463,-62,-68,0,0,0,0,0,0,0,4,500,34,101,2,3,297,1,0,0,2,1,3,2,3,15,1,0,3,2,1,1279,732,1646,EST,6.6878767,2018,78.24390244,Estonia,2019,23723.306112848,4.99644378512059,NA,NA,NA,NA,NA,19.9918077800442,9.41382545912466,NA
EG,2.4266666666666667,0.016680567139282735,0.006672226855713094,0.9264828738512949,1.6619452313503305,1.8098415346121768,3.4052532833020637,3.4595141700404857,3.0946073793755913,NA,3.7012542759407068,2.1751101321585904,1.5925925925925926,1.5373514431239388,NA,NA,NA,1.4825,39.69916666666666,1.0008333333333332,0.9983333333333333,0.9983333333333333,Egypt,EGY,Arab Republic of Egypt,39.9,0.1836,0.0237,0.1979,1002450,101,1200,EGY,2019,1001450,386662,228,228,0,0,39,0,1,2,0,2,49875,65,596,3,2,917,1,0,1,2,1,2,1,1,34,0,0,2,2,0,90242,2334,333,NA,NA,NA,NA,"Egypt, Arab Rep.",2019,3019.20582861756,5.55768388791593,NA,89.4806823730469,NA,NA,NA,5.27633297632877,2.97272525036169,17.3386131818698
ES,1.9829340663392383,0.06474724551257602,0.04030415531536444,0.584815027028219,1.3971704805756682,2.027741211847876,2.814716215249723,2.853355796020767,2.5389223085357338,0.22342361879421993,3.166984159003153,2.303098825888263,3.779408639269102,2.812189971029452,2.5883367847109966,3.0575462367622417,3.0340381658155113,1.515714275162167,48.69603750484774,1.1246380022564682,0.8722003583995024,0.8739566026747815,Spain,ESP,Kingdom of Spain,65.9,0.4165,0.4132,0.4514,505990,92.76,1060,ESP,2019,505370,195124,67,68,0,6,0,1,0,6,0,23,6500,120,350,3,2,292,1,0,0,1,1,3,2,3,18,0,0,3,2,1,48970,2510,1717,ESP,8.97741413,2018,83.43170732,Spain,2019,29600.3782526602,1.95012689445046,NA,NA,NA,NA,NA,19.6478229478216,1.06303804790221,NA
ET,1.7306753458096014,0.8852725793327909,0.09950248756218906,0.8809135399673735,1.5328345802161263,1.903173311635476,2.7121067683508104,2.512380952380952,2.4103819784524974,0.6625514403292181,2.9891500904159134,2.3189655172413794,2.019607843137255,1.5465020576131687,2.0913748932536294,2.091718610863758,2.6462585034013606,1.494308943089431,31.926829268292682,1.0016273393002442,1,0.9991869918699187,Ethiopia,ETH,Federal Democratic Republic of Ethiopia,40.6,0.7235,0.8073,0.6249,1063652,101.1,0370,ETH,2019,1104300,426372,256,256,2,0,8,0,0,7,0,5,13438,501,547,3,3,109,1,0,0,2,1,3,2,2,20,0,0,1,2,0,109177,2561,2051,ETH,3.29555655,2018,66.24,Ethiopia,2019,855.760862280838,8.3640856990789,NA,NA,NA,NA,NA,3.51669045500426,2.62345955188163,42.9159949871287
FI,2.315916650497262,0.3019897899842132,0.0680618591404251,0.3069346085538078,1.4591788966982389,1.7117460794411052,2.6254789326382393,2.641436565658515,2.4939775901712,0.4316694928779024,2.9820913724522926,2.5155824859492992,2.539443722836265,1.8266789960422862,1.6487123347734396,2.7492364651666654,2.876178817739497,1.5399891488835453,50.57801993862209,1.028718872420248,1.0136750180128813,1.0098206121478732,Finland,FIN,Republic of Finland,68.7,0.1315,0.1412,0.2531,338424,16.330000000000002,0380,FIN,2019,338145,130558,29,24,0,1,0,2,0,0,0,6,1500,40,200,2,3,500,1,0,0,2,1,3,2,3,19,1,2,3,2,1,5506,422,2188,FIN,9.037323,2018,81.73414634,Finland,2019,48782.7884755091,1.1455357025294,NA,NA,NA,NA,NA,22.1406446239043,5.85534315641096,NA
FR,2.2119750500353064,0.04928409951057576,0.01959282136819268,0.7370865072189924,1.528803905634922,2.1639466082539056,2.944062847824532,2.8752284139893027,2.5503871680291463,0.3179855010390202,3.3401826446845893,2.5651351868925762,2.6348527916634534,2.03731905232553,2.2407011188665624,2.9742284120825575,3.243129452780715,1.5321080738553452,50.38467718438499,1.1410935602254544,0.8089217388660734,0.7900002076172874,France,FRA,French Republic,68.2,0.1032,0.1221,0.4029,543965,123.28,0390,FRA,2019,551500,212935,35,33,0,6,0,0,0,24,0,25,12125,306,577,2,3,189,1,0,0,2,1,2,1,3,18,0,0,3,2,0,64951,3050,1964,FRA,11.25789452,2018,82.72439024,France,2019,40493.9285720456,1.50859403033795,NA,NA,NA,NA,NA,20.3913702817859,1.87952017613513,NA
GB,2.1079692679291644,0.14196255512944714,0.04002357823073988,0.5977797398502905,1.4417041975723175,2.0017118813769663,3.1384207467197878,2.780153607717765,2.4026128036476253,0.2963431648329729,3.0423181173123033,2.4955919110885456,2.609129434165464,1.7548459087256225,1.9076749704693865,2.8280498630125397,2.770331705319809,1.5179065222896504,48.708304436790854,1.174814269053739,0.7937195635621136,0.7800013196766564,United Kingdom,GBR,United Kingdom of Great Britain and Northern Ireland,77.9,0.1211,0.0532,0.6944,242495,279.95,1210,GBR,2019,243610,94058,49,50,0,2,4,1,0,13,0,41,14938,365,650,3,3,178,1,0,0,1,1,3,2,3,21,1,1,3,2,1,64577,6866,2084,GBR,9.99696255,2018,81.25609756,United Kingdom,2019,42330.117537005,1.46265820190786,NA,NA,NA,NA,NA,18.5086956390397,0.731572914945739,NA
GE,2.752351640958568,0.08496322736266261,0.034833972101275215,0.9155243229054042,1.3218592236225364,2.0556952844805405,2.8934441660285883,2.9845655330980665,2.4583919111876846,0.3844860315720447,3.187416537981873,2.2769767908636833,1.6903918347507683,2.2485542769096925,2.5654000328936326,3.0990200304009448,3.30270427318634,1.553012013164146,47.1816133235284,1.0170580566665728,0.9832591329019779,0.9883709797946172,Georgia,GEO,NA,52,0.4923,0.4749,0.6543,69700,53.51,0415,GEO,2019,69700,26911,5,6,0,0,0,0,0,2,0,6,1375,115,150,3,3,130,1,0,0,2,1,2,1,2,15,0,0,2,2,0,4357,1619,1595,GEO,7.11329746,2018,73.6,Georgia,2019,4697.7045759469,4.98235045944931,NA,106.296348571777,NA,NA,19.5,15.0610556287397,7.67353213360908,133.515862345944
GR,1.8317414680719064,0.057384727276293825,0.04658562490384616,0.9155201030664983,1.4860933015521305,2.3012470912870295,3.166074206555649,3.286236061557155,2.648667047134228,0.13157358674767147,3.4193770328069433,3.1310062171023767,2.442318447153718,1.674231779958927,3.1399235557372016,3.4010132512049744,3.3440329107304048,1.5348699577675,48.9225517544575,1.117964132195,0.865714896557596,0.8641819923564273,Greece,GRC,Hellenic Republic,53.8,0.1576,0.03,0.153,131957,81.27,0450,GRC,2019,131957,50949,-31,-31,0,7,0,0,0,13,0,14,7562,158,300,3,3,190,1,0,0,2,1,3,2,3,19,1,1,3,2,1,11323,2222,1150,GRC,7.71544075,2018,81.78780488,Greece,2019,19582.5359794936,1.87087000443557,NA,NA,NA,NA,NA,21.9414701261427,2.38244946721104,NA
