cntry_AN,state_of_health,religious_member,political_member,distrust_people,environment_vs_economy,neighbour_distrust,conf_press,conf_parliament,conf_civil_service,conf_govt,E069_12,E115,avoid_fare,cheat_taxes,govt_surveilence,H010,H011,sex,age,G027A,V002,V001,location,alpha.3,official_name,ghs,ethnic,linguistic,religious,area_km2,pop.km2,code,Wbcode,year.x,area_km,area_mi,pct_pop_inc,pct_popdens_inc,assassinations,strikes,guarilla,crises,purges,riots,revolutions,antgovt_dem,confict_index,legis01,legis02,legis05,legis06,legis07,polit02,polit03,polit04,polit05,polit06,polit07,polit08,polit09,polit10,polit11,polit12,polit13,polit14,polit15,pop1,pop2,sch_enrol_per_cap,country_code,health_spending_pct_gdp,year.y,life_exp.x,country,year,gdp_per_capita,gdp_growth,literacy_rate,secondary_school_enrl,geni_index,life_exp.y,poverty_headcount,pop_65,fdi_pct_gdp,aid_per_cap
RO,2.246136635200213,0.21361178214450766,0.06745008585420412,0.8789408971852963,1.5762259905043525,2.56469708396287,2.832647915208345,3.290056927373662,2.9675993044954234,0.19765462744886794,3.397892700859799,1.7771973754908519,2.106550497351683,2.4905156144975003,2.6120089594245526,3.231700767695274,3.34450433293036,1.521580723692269,47.300503408987346,1.0033361190774914,0.9970770326612511,0.9978855979823612,Romania,ROU,NA,45.8,0.3069,0.1723,0.2373,238391,81.4,0970,ROM,2019,238391,92043,-37,-39,0,1,0,1,0,0,0,5,1125,154,329,3,3,214,1,0,0,2,1,2,1,2,17,1,0,2,2,0,21007,2282,1442,ROU,5.55660582,2018,75.35853659,Romania,2019,12919.5296441908,4.15262741240312,NA,NA,NA,NA,NA,18.79006578875,2.94526433708632,NA
RS,2.4189103983244493,0.2536925662595888,0.1242488220209964,0.831178339919112,1.630110527670252,2.2938774922777045,3.226809341340623,3.1684327594681143,2.9826405271254655,0.28592190383007,3.2930182007199167,1.9013084883321096,3.6486412394590806,2.593245123521631,2.318764410830023,3.088199191286964,3.2273219242153304,1.5326216611014323,48.01046907343225,1.0663652021686607,0.9124955522450475,0.9142873966368,Serbia,SRB,Republic of Serbia,52.3,0.5736,0,0,77474,89.08,1292,SER,2019,77474,29913,-47,-46,0,2,0,0,0,0,0,55,7375,91,250,2,3,275,1,0,0,2,1,2,1,3,19,0,0,2,2,0,7051,2357,1507,SRB,8.53899002,2018,75.8902439,Serbia,2019,7411.83611634734,4.24851343995569,NA,94.4721908569336,NA,NA,NA,18.7405034178861,8.29277878317044,82.1745236242076
RU,2.5575936775272545,0.0649360908535485,0.021775642639100635,0.7653415194734616,1.550846704777061,2.167185577913301,2.8152474780445713,2.683217891358862,2.408895187733028,0.5412463725065859,2.9050379905494106,2.656638875130558,5.012413511519198,3.7627237327685634,2.353372027569008,3.100268141517467,3.1903984695601064,1.5537340685801917,44.92816848803228,1.0465251347776212,0.9454771367316613,0.9375816990491854,Russia,RUS,NA,44.3,0.2452,0.2485,0.4398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Russian Federation,2019,11584.9953826104,1.34187544067058,NA,NA,NA,NA,NA,15.0941252324225,1.88100538576924,NA
SE,2.0187176402907947,0.2872900659494275,0.07138818994091545,0.36374356486540543,1.1355425561564165,1.7505047623109034,2.6954545321874503,2.309067044782061,2.348378077951248,0.5217480192273624,2.7606609366881836,2.8423310724558126,2.655262264035069,1.7192569502839956,1.6264444001234684,3.002952931277093,3.215393231832695,1.4966923848382228,45.492105875127336,1.156900282758163,0.8027152886706583,0.7929032738804935,Sweden,SWE,Kingdom of Sweden,72.1,0.06,0.1968,0.2342,450295,22.97,1092,SWE,2019,450295,173860,79,89,0,0,0,0,0,0,0,10,1250,100,349,2,3,349,1,0,0,1,1,3,2,3,32,1,0,3,2,0,9873,568,2125,SWE,10.8985014,2018,82.55853659,Sweden,2019,51615.0206514946,1.26098005513558,NA,NA,NA,NA,NA,20.1985696235664,4.59570492394757,NA
SI,2.340339766856932,0.3501798292757718,0.037866978532479126,0.7463924391212083,1.401802783501719,2.186444886438108,2.8286304751315012,3.107866839157386,2.9590367796973758,0.1456019871399705,3.413592946527595,1.9117594924035437,2.4057257934844585,1.7870735472523507,3.005413766925097,3.5390200391400235,3.497700803897852,1.5065340334357136,49.64032030502577,1.1054224100354852,0.8777772602159472,0.8552790581351305,Slovenia,SVN,Republic of Slovenia,67.2,0.2216,0.2201,0.2868,20273,102.81,1023,SVN,2019,20273,7827,0,0,0,0,0,0,0,0,0,3,375,25,90,2,3,360,1,0,0,2,1,3,2,3,15,0,0,3,2,0,2034,2599,1691,SVN,8.29891014,2018,81.37804878,Slovenia,2019,25946.1821852127,3.18434162415744,NA,NA,NA,NA,NA,20.1862840087865,3.15639977007131,NA
SK,2.1548133420475035,0.06949941985119795,0.007616492835090802,0.7853715996136618,1.4065067005877046,1.982576009672532,2.724767670278677,2.757128586356739,2.5549356944276105,0.3106977153244426,3.1304427117880587,1.977366618974041,3.5071684757521036,2.687577695969193,2.5587903640721974,3.3731295978442786,3.413055508159401,1.5243408676937849,45.11442272606993,1.0116429184850422,0.9736120259481279,0.9681348046190097,Slovakia,SVK,Slovak Republic,47.9,0.2539,0.2551,0.5655,49036,111.14999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Slovak Republic,2019,19266.2754990139,2.31702345469655,NA,NA,NA,NA,NA,16.1723638921146,2.20088874291795,NA
TH,2.0995742128450234,0.49099283689133333,0.32683669097066664,0.6904876751136843,1.496248069720946,1.9270643080629184,2.429111797061091,2.4392114100922733,2.298248443130848,0.557412671856623,2.659682244232938,2.1458358184103092,2.2329170634514823,1.7450642879589502,1.9026444353340055,2.780656125843455,2.8243383174036265,1.532114470397049,43.898936335094064,0.9999272100753334,0.997622492024,0.9972502580606667,Thailand,THA,Kingdom of Thailand,73.2,0.6338,0.6344,0.0994,513120,130,1130,THA,2019,513120,198117,25,27,0,0,26,0,0,0,0,6,33250,115,500,2,2,435,2,0,0,1,1,3,2,1,21,1,0,1,1,1,65864,3325,2148,THA,3.79303908,2018,76.931,Thailand,2019,7806.74221105532,2.35469391059033,NA,115.152656555176,NA,NA,NA,12.4062503348266,0.886145701251857,-4.85741020027712
TJ,2.0325,0.3408333333333333,0.3541666666666667,0.7941666666666667,1.5833333333333333,1.9966666666666666,2.2091152815013406,1.7227635075287866,1.8753387533875339,0.9083969465648855,2.128440366972477,2.3366666666666664,2.5991666666666666,2.4225,1.7275,2.055833333333333,2.200833333333333,1.505,41.06333333333333,1.005,0.9908333333333333,0.9916666666666667,Tajikistan,TJK,Republic of Tajikistan,32.3,0.5107,0.5473,0.3386,143100,63.78,1115,TJK,2019,144100,55637,152,77,0,0,0,0,1,1,0,0,562,51,63,3,1,124,1,0,0,2,1,2,1,1,16,0,0,1,2,0,8764,1575,1069,TJK,7.2394805,2018,70.879,Tajikistan,2019,870.787589323223,7.01126898499351,NA,NA,NA,NA,26.3,3.0859612115329,2.62189867901573,39.3261763423903
TN,2.537313432835821,0.0791304347826087,0.0782312925170068,0.8575085324232082,1.6929133858267718,2.1993355481727574,2.9966101694915253,3.512690355329949,3.028109028960818,0.12077702702702703,3.5637130801687764,2.655202063628547,2.1205320033250206,1.920965058236273,2.2288642186165672,2.5775862068965516,2.539383561643836,1.537313432835821,43.14771784232365,1.0116182572614107,0.9867109634551495,0.9842061512884456,Tunisia,TUN,Republic of Tunisia,33.7,0.0394,0.0124,0.0104,163610,71.64999999999999,1160,TUN,2019,163610,63170,85,85,0,4,6,0,0,1,0,6,9562,52,217,2,3,417,1,0,0,2,1,2,1,2,27,0,1,2,2,1,11233,1778,2214,TUN,7.29209566,2018,76.505,Tunisia,2019,3317.4535932122,1.04304533812767,NA,NA,NA,NA,NA,8.5934685561919,2.08825420020034,84.143110176215
TR,2.159185369908562,0.05739421868454127,0.0867003367003367,0.8573839662447258,1.4270967741935483,2.0141196013289036,2.6673657718120807,2.3671209540034073,2.3208351086493395,0.6990740740740741,2.5038200339558574,2.448018648018648,2.0967336683417086,1.686847599164927,3.0410899653979238,3.2279029462738302,3.206926406926407,1.500207039337474,38.826429163214584,1.003312629399586,0.9937888198757764,0.9937888198757764,Turkey,TUR,Republic of Turkey,52.4,0.32,0.2216,0.0049,783562,106.11999999999999,1170,TUR,2019,783562,302535,45,46,0,0,18,0,1,0,0,6,23500,344,600,3,2,174,1,0,0,2,1,2,1,0,18,0,0,2,2,0,79726,2635,2856,TUR,4.12414074,2018,77.437,Turkey,2019,9126.56134585014,0.916534797206751,NA,NA,NA,NA,NA,8.72628382619289,1.18882280769824,9.88749586276445
TW,2.233968823714636,0.34756373550858544,0.14454321946034343,0.6920821166058871,1.3744419279983646,2.1148808202371217,2.9379447490659985,2.8903352777504185,2.337571639911277,0.5332675380933334,3.0175392736861437,2.237892972299831,2.265984620322976,1.7354695875355683,1.991906413190671,2.831719010807032,3.0584324515106385,1.5073365273883892,46.23418924063584,1.0275964833982012,0.9511775744652494,0.9244691646230581,Taiwan,TWN,"Taiwan, Province of China",NA,0.2744,0.5028,0.6845,36197,652.11,0231,TWN,2019,35980,13892,11,11,0,0,0,0,0,0,0,3,375,68,113,3,3,166,1,0,0,2,1,2,1,3,40,0,0,3,2,0,23631,17011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA,2.6229082632462863,0.28101623165974443,0.08376500154828412,0.6909251583017516,1.4991449190676627,2.1317889310275375,2.918384063926869,3.236906694812295,2.8371085894583334,0.2025432276325852,3.222765889229046,2.60843481657295,3.616436311585268,3.100363568300578,2.616389002655144,3.4106313506595747,3.3071160788392557,1.5915793988083786,47.59459397133669,1.0404381469175739,0.9280803514913386,0.8976218765486166,Ukraine,UKR,NA,38,0.4737,0.4741,0.6157,NA,NA,1183,UKR,2019,603550,233032,-10,-11,1,1,0,0,0,1,0,11,2250,254,450,2,2,177,1,0,0,2,1,2,1,2,19,1,1,2,2,1,44325,1902,1275,UKR,7.72391653,2018,71.58268293,Ukraine,2019,3659.03131229487,3.23349118845559,NA,NA,NA,NA,NA,16.7049903897468,3.79305465454827,25.870136084914
US,2.1096777847642056,0.6061236194299139,0.4924605986570979,0.6276456064352532,1.5802305490663284,2.22886028689011,2.878467408836999,3.051957156217974,2.6188305974130954,0.337735634192066,3.1035188988392437,2.5124416461372627,2.9472125246911016,2.052119898387867,2.1855489943722115,3.098713942688189,3.0245911445225935,1.5160773852838982,46.702029100073574,1.0990113384369085,0.8428955161663184,0.853466046917652,United States,USA,United States of America,83.5,0.4901,0.5647,0.8241,9833517,34,1220,USA,2019,9833517,3796741,72,58,0,3,0,1,0,6,0,53,9500,234,435,3,3,186,1,0,0,2,2,2,1,0,24,0,0,3,2,0,327792,863,2129,USA,16.88529778,2018,78.53902439,United States,2019,65297.517508274,2.16117628829923,NA,NA,NA,NA,NA,16.2096061428511,1.64058830901144,NA
VN,2.2025,0.12083333333333333,0.0425,0.7233333333333334,1.3035863219349457,1.995,2.128704487722269,1.7306368330464716,2.019810508182601,0.9465195246179966,1.797971259509721,1.846435100548446,3.424166666666667,2.8325,2.6216666666666666,3.32,3.15,1.5458333333333334,37.8925,1,0.9991666666666666,0.9925,Vietnam,VNM,Socialist Republic of Viet Nam,49.1,0.2383,0.2377,0.508,331212,290.47999999999996,1260,VNM,2019,331210,127881,84,84,0,0,0,0,0,0,0,1,125,474,484,0,0,102,1,0,0,2,1,5,3,1,20,0,0,1,2,0,93107,7281,1094,VNM,5.91789675,2018,75.317,Vietnam,2019,2715.27603640721,7.0174348821878,NA,NA,NA,NA,NA,7.55367294178711,6.15452175697011,11.3477722006485
ZW,2.7775947281713345,0.9051937345424568,0.24833887043189368,0.9785831960461285,1.4651741293532339,2.2411230388109002,2.8813131313131315,2.6985049833887045,2.4958471760797343,0.5198675496688742,2.9857740585774057,2.1349072512647553,2.099752679307502,1.8551440329218107,2.9933444259567388,3.1609674728940784,3.153078202995008,1.5061728395061729,39.10322047894302,1.0065897858319606,0.9752883031301482,0.9555189456342669,Zimbabwe,ZWE,Republic of Zimbabwe,38.2,0.3874,0.4472,0.7363,390757,38.8,1214,ZWE,2019,390757,150872,187,187,0,7,0,0,1,4,0,0,3250,179,270,3,3,151,1,0,0,2,2,2,1,0,24,0,0,1,2,0,17306,1147,NA,ZWE,4.73433113,2018,61.195,Zimbabwe,2019,1463.98591018054,-8.10000019886093,NA,NA,NA,NA,38.3,2.9806080625078,1.30592393026687,66.5659857812968
