location,alpha.3,date,stringency_index,res_pct_chng,reproduction_rate,distrust_people,gdp_per_capita,ghs,sch_enrol_per_cap,gdp_growth,health_spending_pct_gdp,pop.km2,democracy_index,ethnic,conf_govt,conflict_index,education_index,daily_cases_100k,daily_deaths_100k,continent,excess_deaths_per_100k
Italy,ITA,2020-04-27,86.37714285714286,24.070578177727786,0.69,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,2.7190857142857143,0.4621571428571428,Europe,0.603579761
Italy,ITA,2020-05-04,68.52,17.25655793025872,0.6657142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,1.9381857142857144,0.37711428571428574,Europe,0.309935221
Italy,ITA,2020-05-11,68.25428571428571,15.442312710911136,0.6614285714285715,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,1.2955142857142856,0.29722857142857145,Europe,0.209895714
Italy,ITA,2020-05-18,63.89,11.05941057367829,0.6642857142857144,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.9110857142857143,0.18571428571428572,Europe,0.197514821
Italy,ITA,2020-05-25,63.89,10.414146231721036,0.6614285714285715,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.6993857142857143,0.13585714285714284,Europe,0.025363701
Italy,ITA,2020-06-01,52.78,8.05835770528684,0.6985714285714285,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.4834142857142857,0.12121428571428572,Europe,-0.04254219
Italy,ITA,2020-06-08,54.36571428571428,5.929286839145107,0.87,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.45812857142857144,0.08552857142857143,Europe,-0.062105891
Italy,ITA,2020-06-15,58.33,3.5739461138786224,0.9814285714285714,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.3149571428571428,0.06378571428571429,Europe,-0.086962188
Italy,ITA,2020-06-22,58.33,1.7557091077900977,0.9,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.4123142857142857,0.021714285714285714,Europe,0.111321123
Italy,ITA,2020-06-29,58.33,1.3441176995732678,0.9057142857142857,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.32558571428571426,0.031171428571428572,Europe,0.218685203
Italy,ITA,2020-07-06,58.33,0.3173710429053512,0.9657142857142856,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.32792857142857146,0.020071428571428573,Europe,0.141706292
Italy,ITA,2020-07-13,58.33,0.20558144517649576,1.0414285714285714,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.33267142857142856,0.021042857142857144,Europe,-0.079732125
Italy,ITA,2020-07-20,56.215714285714284,-0.45117574588890663,1.13,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.41018571428571426,0.011828571428571428,Europe,-0.085355507
Italy,ITA,2020-07-27,50.93,-0.2461120931312158,1.15,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.45622857142857143,0.011342857142857144,Europe,-0.044290637
Italy,ITA,2020-08-03,50.93,-0.15508775688753193,1.2914285714285714,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.6658285714285714,0.010385714285714286,Europe,0.373635388
Italy,ITA,2020-08-10,51.98714285714286,0.8326012819826093,1.2871428571428571,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,0.8031142857142857,0.044885714285714286,Europe,-0.037249594
Italy,ITA,2020-08-17,54.63,1.184798328780331,1.5514285714285714,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,1.5447714285714285,0.009457142857142857,Europe,0.292261732
Italy,ITA,2020-08-24,54.63,1.5664381238059528,1.35,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,2.1300285714285714,0.010871428571428572,Europe,0.203752523
Italy,ITA,2020-08-31,54.10142857142857,0.31643366007820445,1.1685714285714286,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,2.3542428571428573,0.017,Europe,0.154748759
Italy,ITA,2020-09-07,52.78,-1.4889388826396701,1.06,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,2.3242571428571432,0.016542857142857144,Europe,0.1884418
Italy,ITA,2020-09-14,51.72,0.08306104594068589,1.0871428571428572,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,2.5770714285714282,0.0248,Europe,0.278415924
Italy,ITA,2020-09-21,49.07,2.9145106861642294,1.1271428571428572,72.93123887754518,35220.084,56.2,1505,0.3,8.66763401,199.97,7.52,0.1145,24.347134874792467,6750,0.793,2.862257142857143,0.03237142857142857,Europe,0.22345799
